,Company/Brand,Sector,Stage,Amount($),HeadQuarter,What it does,Year,Founded,Founders,Investor
76,India Accelerator,communities,angel,948512359.4238179,gurgaon,India Accelerator runs mentorship-driven incubation and acceleration programs for start ups.,2018,,,
77,HappyEMI,retail,seed,1000000.0,bengaluru,HappyEMI is a point of sale digital lending platform that helps consumers finance their purchases in-store and online,2018,,,
78,Wishup,consumer applications,seed,948512359.4238179,azadpur,Premium Personal Assistance service,2018,,,
79,Hansel.io,mobile,series a,4000000.0,bengaluru,"Hansel, a mobile app management platform, provides the infrastructure that companies need, in order to personalize product experiences.",2018,,,
80,Propelld,education,seed,250000.0,bengaluru,Propelld is a student education financing platform.,2018,,,
81,PivotRoots,advertising,series a,948512359.4238179,mumbai,Digital Marketing powered by Data & Technology; fueled by Design thinking,2018,,,
82,ZiffyHomes,marketplace,seed,120000.0,new delhi,ZiffyHomes is a technology driven marketplace to find out home on rent.,2018,,,
83,Carmesi,healthcare,seed,496994.0,gurgaon,Carmesi is a brand of high-end menstrual-hygiene products in India.,2018,,,
84,OckyPocky,e-learning,angel,948512359.4238179,haryana,OckyPocky is a interactive and personalised language learning app for preschool kids.,2018,,,
85,Racetrack,ai,seed,4999174.0,bengaluru,"Racetrack is a sales and support-focused AI-driven platform designed for education, real estate, and e-commerce sectors.",2018,,,
86,WHR,healthcare,seed,143145.0,pune,"WHR is to make affordable healthcare a reality for all. Our vision is to make healthcare services easier, better and more accessible.",2018,,,
87,Asteria Aerospace,aerospace,seed,948512359.4238179,bengaluru,Asteria Aerospace is a robotics and artificial intelligence company.,2018,,,
88,FabAlley,e-commerce,series b,8770481.0,noida,"FabAlley is the ultimate Indian fashion destination for fashion-forward, indie-chic girls. Founded in 2012, Tanvi Malik and Shivani Poddar",2018,,,
89,Tranzmeo,ai,pre-seed,948512359.4238179,cochin,Tranzmeo Connect : is A Complete Comprehensive Anomaly forensic Solution with Actionable Insights.,2018,,,
90,SBI Life,finance,private equity,742000000.0,mumbai,SBI Life is one of the life insurance company that offers a range of life insurance plans and policies to protect you and your family.,2018,,,
91,Studds Accessories,e-commerce,private equity,14617468.0,faridabad,Studds Accessories is a scooter accessories service provider in India,2018,,,
92,Design Cafe,home decor,series b,29234936.0,bengaluru,"Design + Execution Organization that delivers beautiful & innovative designs for Home Interiors, in any budget.",2018,,,
93,NoPaperForms Solutions Pvt. Ltd.,edtech,series b,3980000.0,new delhi,"NoPaperForms is a marketing automation, lead nurture and enrolment management platform for educational institutions",2018,,,
94,Rays Power Infra,energy,undisclosed,29234936.0,jaipur,Rays Power Infra is a leading integrated Solar Power Company.,2018,,,
95,AuthMetrik,b2b,grant,10000.0,gurgaon,"SaaS, B2B, Security, Stop account sharing, Fraud Detection",2018,,,
96,Khidki,ai,seed,948512359.4238179,bengaluru,Vernacular Social Network Focused on Town Level Content and Interactions,2018,,,
97,LetsTransport,logistics,series b,14617468.0,bengaluru,Lets transport is a logistics solution provider.,2018,,,
98,Next Digital Solutions,digital marketing,angel,1462.0,kota,Next Digital Solutions is website design & Digital Marketing development company.,2018,,,
99,Portea Medical,healthcare,debt,3654367.0,bengaluru,Portea Medical is the largest and fastest growing provider of in-home medical care in India today with a 24-city network.,2018,,,
100,Aavas Financiers,finance,post-ipo debt,29234936.0,jaipur,"Aavas Financiers is engaged in the business of providing housing loans, primarily in the un-served, unreached and under-served market.",2018,,,
101,Swiggy,delivery,series h,1000000000.0,bengaluru,Swiggy is a food ordering and delivery company that provides food service solutions for restaurants.,2018,,,
102,Milkbasket,e-commerce,series a,7000000.0,haryana,"Milkbasket delivers milk, bread, eggs, butter, juices and other daily need items, every morning, right at your doorstep, free of charge.",2018,,,
103,Nutrisattva (Proliva),healthcare,angel,948512359.4238179,anand,Nutrisattva is a protein innovation compan,2018,,,
104,Toppr,edtech,series c,35000000.0,mumbai,Toppr.com is an online preparation platform for entrance exams in India.,2018,,,
105,Jagaran Microfin,fintech,debt,8039607.0,kolkata,Jagaran Microfin is a Microfinance institution which achieves a healthy amalgamation of social and financial,2018,,,
106,Vivriti Capital,financial services,undisclosed,28500000.0,chennai,Vivriti Capital is an online platform for institutional debt in India.,2018,,,
107,Be U Salons,tech,seed,438524.0,new delhi,Be U is India's first subscription based Salon Chain.,2018,,,
108,Impact Guru,creative agency,series a,2000000.0,mumbai,"We're a Harvard incubated crowdfunding platform for nonprofits, social enterprises, startups and individuals.",2018,,,
109,MobiKwik,finance,series e,3508192.0,gurgaon,MobiKwik is a payments backed fintech platform in India. MobiKwik App offers instant loans & investment products to the 500M masses of India,2018,,,
110,Stones2Milestones,e-learning,seed,948512359.4238179,gurgaon,Stones2milestones is a Gurgaon Based Learning Company.,2018,,,
111,Generico,healthcare,series a,948512359.4238179,mumbai,Generico is the fastest growing specialized pharmacy retail chain of Generic medicines.,2018,,,
112,Adiuvo Diagnostics,healthcare,seed,948512359.4238179,chennai,Adiuvo Diagnostics is a medical diagnostic device company based in India.,2018,,,
113,DataTrained,edtech,seed,1754096.0,bengaluru,"DataTrained is a educational platform, which operates an ed-tech startup on data science",2018,,,
114,OneAssist,financial services,debt,2400000.0,mumbai,OneAssist is a protection & assistance services platform.,2018,,,
115,Satin Creditcare Network Limited (SCNL),finance,post-ipo debt,30000000.0,new delhi,Satin is a non-banking finance company providing individual loans to urban shopkeepers.,2018,,,
116,APAC Financial Services,finance,private equity,36543670.0,mumbai,APAC Financial Services is a financial services platform.,2018,,,
117,Moglix,b2b,series c,23000000.0,noida,"Moglix is a supplier of industrial tools like hand tools, power tools, electrical, and safety equipment.",2018,,,
118,SEDEMAC Mechatronics,automotive,undisclosed,948512359.4238179,mumbai,SEDEMAC Mechatronics is technology company that distributes control-intensive products for automobiles.,2018,,,
119,MadGuy Labs,e-learning,undisclosed,150000.0,hyderabad,MadGuy Labs is a Online Test-prep Platform.,2018,,,
120,Dee Dee Labs,embedded systems,seed,948512359.4238179,pune,Dee Dee Labs is design and development lab with a primary focus on the development of next generation of bionic prostheses.,2018,,,
121,FLEECA,fintech,seed,948512359.4238179,jaipur,FLEECA is a Tyre Care Provider company.,2018,,,
122,Shop101,tech,series b,11000000.0,mumbai,#1 Online Selling App. India’s leading social commerce platform. Setup free online store in 2 min. Sell own goods or resell Shop101 Supply.,2018,,,
123,FeedMyPockets,advertising,seed,643169.0,bengaluru,On Demand Staffing Platform,2018,,,
124,Housejoy,beauty,series b,3240000.0,bengaluru,Housejoy is a web-based platform that allows individuals to browse and book service providers for their homes.,2018,,,
125,Ambee,healthcare,angel,948512359.4238179,bengaluru,Ambee is an Environment analytics startup.,2018,,,
126,FoodBuddy,delivery,seed,877048.0,belgaum,"FoodBuddy is a online food delivery portal, providing boundary breaking delivery.",2018,,,
127,Ninjacart,agtech,series b,36543670.0,bengaluru,Ninjacart is a B2B agri-marketing platform that connects vegetables and fruits farmers directly with businesses.,2018,,,
128,Olly Smart Credit Card,credit cards,seed,948512359.4238179,new delhi,Olly is a digital credit card for India's working masses and young people.,2018,,,
129,Zestl,computer software,seed,948512359.4238179,pune,"No-Code Workflow Automation. Build enterprise applications in days with AI, Cognitive Automation, Collaboration and more built in.",2018,,,
130,BYJU’S,edtech,private equity,540000000.0,bengaluru,BYJU’s is an edtech company that is reinventing how students learn through its learning app.,2018,,,
131,Wakefit,manufacturing,undisclosed,9501354.0,bengaluru,Wakefitkart is a mattress manufacturing company. We manufacture the best quality mattresses at affordable prices.,2018,,,
132,Hero Electric,manufacturing,undisclosed,23387949.0,new delhi,"Hero Electric, a 100% subsidiary of the Hero Group, is a pioneer in the Indian Electric Vehicle Industry.",2018,,,
133,Pentation Analytics,tech,seed,948512359.4238179,mumbai,Pentation as an Insurtech enables insurers and intermediaries with our Insurance Analytics Suite- an Insurance specific AI/ML Software Suite,2018,,,
134,PerkFinance,finance,seed,900000.0,bengaluru,PerkFinance partners with employers to provide affordable loans to their employees at no cost to the company,2018,,,
135,Roposo,information technology,series c,10000000.0,gurgaon,Roposo - TV by the People is a unique social media platform where people express visually with homemade videos and photos.,2018,,,
136,Plum Goodness,beauty,series a,948512359.4238179,thane,Plum Haircare Is Silicone-Free & Sulphate-Free. Designed For Damaged & Dandruff-Free Hair,2018,,,
137,Drstore,hospital,seed,948512359.4238179,mumbai,Drstore is a exclusive e- commerce platform.,2018,,,
138,Wow Venue,events,undisclosed,1500000.0,mumbai,Wow Venue is an online platform.,2018,,,
139,Chizel,3d printing,seed,948512359.4238179,pune,Chizel is a worlds most advanced cloud platform for on-demand manufacturing in 3D Printing and CNC Machining,2018,,,
140,OTO Capital,automotive,seed,730873.0,mumbai,OTO Capital is a platform that allows you to own a car faster than ever.,2018,,,
141,Boodmo,automotive,seed,1023223.0,gurgaon,boodmo.com - large online marketplace for auto parts in India.,2018,,,
142,Khabri,tech,seed,948512359.4238179,haryana,Khabri is a digital audio platform for content in vernacular.,2018,,,
143,MyNewCar.in,automotive,undisclosed,1000000.0,gurgaon,MyNewCar.in offers new cars at best price with great deals. Book a new car online or request a doorstep test drive,2018,,,
144,HalaPlay Technologies,digital entertainment,series a,5000000.0,bengaluru,A daily fantasy sports platform.,2018,,,
145,PlanetSpark,e-learning,seed,233879.0,gurgaon,PlanetSpark is an after-school Maths and English learning program for pre teen kids between Grades 2nd to 7th.,2018,,,
146,WheelsEMI,fintech,series b,14000000.0,pune,"WheelsEMI is the brand name of NBFC, WheelsEMI Pvt. Ltd.",2018,,,
147,Forum for Innovation Incubation Research and Entrepreneurship,funding platform,grant,1498290.0,margão,"FiiRE, a technology business incubator helps the startup process to move from the garage to the lab.",2018,,,
148,OYO,hospitality,series e,100000000.0,gurgaon,OYO is an Indian hospitality startup that operates a network of budget hotels.,2018,,,
149,Quikr,classifieds,debt,8039607.0,bengaluru,"Quikr is a free classifieds and online marketplace that helps users sell, buy, rent, or discover anything across India.",2018,,,
150,Tabono,sports,seed,948512359.4238179,gurgaon,Tabono is a one stop environment for all your fitness solution.,2018,,,
151,LearnApp,finance,seed,292349.0,noida,"Learnapp.co - Video courses & live classes in investing, trading, banking and finance.",2018,,,
152,Shopkirana,e-commerce,undisclosed,2000000.0,indore,Shopkirana connects brands and traditional retailers with the help of technology and supply chain innovation.,2018,,,
153,Fric Bergen,fintech,undisclosed,948512359.4238179,alwar,Fric Bergen is a leader in the specialty food industry.,2018,,,
154,Articbot,ai,grant,17541.0,kannur,Articbot is a conversational AI platform for automated customer support and lead generation,2018,,,
155,BuildSupply,enterprise resource planning (erp),series a,3654367.0,gurgaon,India’s most advanced ERP system for the real estate,2018,,,
156,Fusion Microfinance,finance,series e,76010834.0,new delhi,Fusion Microfinance Pvt. Ltd. is an NBFC registered with RBI,2018,,,
157,Any time Doctor,computer software,angel,948512359.4238179,chennai,Anytime Doctor is a Software company.,2018,,,
158,Go Payments,tech,corporate round,948512359.4238179,mumbai,Go Payments was founded with the mission of assisting consumers with performing a whole host of financial services at their doorstep.,2018,,,
159,Guiddoo World,audio,seed,800000.0,mumbai,We build In-Destination Experiences!,2018,,,
160,ION Energy,energy,undisclosed,1041000.0,mumbai,A stealth startup building a layer of infrastructure for highly efficient energy storage systems.,2018,,,
161,UnoTag,ai,pre-seed,100000.0,bengaluru,SaaS to verify counterfeit,2018,,,
162,CivilCops,government,pre-seed,100000.0,gurgaon,Gov-Tech,2018,,,
163,Rockmetric,information technology,grant,948512359.4238179,mumbai,"Smarter analytics to understand how each customer uses your product. Drive growth in conversion, retention and engagement.",2018,,,
164,Classworks India,education,seed,1462.0,chennai,"Saas, Web App, Mobile App, School Education",2018,,,
165,Snapmint,finance,seed,948512359.4238179,mumbai,"Snapmint facilitates simplified, fairly-priced and hassle-free EMI options without a Credit Card.",2018,,,
166,artbandhu,digital media,pre-seed,15000.0,bengaluru,Ai platform for Art and Creative Community,2018,,,
167,Survaider,business intelligence,seed,500000.0,bengaluru,Stethoscope for customer feedback !,2018,,,
168,Credy,finance,seed,1400000.0,bengaluru,Credy is a fintech platform that connects borrowers seeking capital with lenders seeking market beating returns.,2018,,,
169,iChamp,e-learning,seed,5000000.0,gurgaon,iChamp is an e education innovation product from RNM E-Services Pvt Ltd.,2018,,,
170,Qandle,computer software,seed,1200000.0,gurgaon,A cloud-based HR management and employee engagement platform.,2018,,,
171,Avishkaar Box,children,seed,730873.0,delhi,"Avishkaar Box is just not another box full of material rather it is a well researched, thought through solution",2018,,,
172,Gegadyne Energy,automotive,angel,948512359.4238179,mumbai,A Mumbai-based startup Electric Vehicle (EV) & Energy Storage company.,2018,,,
173,HyperXchange,e-commerce,series a,1000000.0,pune,hyperXchange is India's fastest growing O2O marketplace for premium refurb gadgets,2018,,,
174,Deftouch,fintech,seed,948512359.4238179,bengaluru,Deftouch is a mobile game development company that currently focuses on winning the Cricket gaming market with a social multiplayer game.,2018,,,
175,Doodhwala,delivery,seed,2200000.0,bengaluru,Doodhwala is an online milk delivery startup that offers over 70 varieties of milk along with a plan based on clients' requirement.,2018,,,
176,DronaHQ,mobile,angel,500000.0,mumbai,DronaHQ is an enterprise mobile engagement platform.,2018,,,
177,FastFox,rental,series a,1461747.0,gurgaon,FastFox: Market Network for Home Rentals (India),2018,,,
178,BuyForexOnline,travel,seed,2000000.0,bengaluru,BuyForexOnline.com is India's first completely online provider for buying Foreign Exchange.,2018,,,
179,Colive.in,retail,seed,1800000.0,bengaluru,A technology powered network of Branded Serviced Homes conveniently located near educational institutions & workplaces.,2018,,,
180,Agricxlab Private Limited,b2b,seed,500000.0,thane,Online marketplace where farmers and traders can sell their produce to B2B buyers,2018,,,
181,Corefactors,fintech,seed,948512359.4238179,bengaluru,"Corefactors is a leading campaign management, business communication and analytics company.",2018,,,
182,Fincash.com,wealth management,seed,150000.0,mumbai,A startup in the personal finance space in India .,2018,,,
183,Pandorum Technologies,biotech,series a,3600000.0,bengaluru,Bengaluru based biotech startup.,2018,,,
184,Shirsa Labs,education,seed,500000.0,mumbai,Shirsa Labs is a cognitive skill assessment and training portal that provides children with fun educational games.,2018,,,
185,PetSutra,veterinary,seed,138866.0,gurgaon,Gurugram-based Online petcare platform.,2018,,,
186,Awaaz De,information technology,angel,948512359.4238179,ahmedabad,Awwaz.De develops inclusive mobile solutions that enable organizations to achieve last-mile connectivity for social impact.,2018,,,
187,PinkBlue,healthcare,seed,300000.0,bengaluru,PinkBlue.in - Super-efficient supply-chain for clinical supplies,2018,,,
188,Eduvanz,finance,angel,500000.0,mumbai,"Eduvanz is new, innovative finance company, which is completely revolutionizing the student loan market.",2018,,,
189,Rupeek,financial services,series a,6830000.0,bengaluru,Rupeek is an asset backed online lending platform currently operating in the space of Gold loans.,2018,,,
190,Backpacker Panda Holidays Private Limited,tourism,series a,1400000.0,pune,Backpacker Panda is creating an ecosystem for youth accommodation and travel.,2018,,,
191,Shape (School Health and Physical Education),education,seed,200000.0,pune,Physical education start up,2018,,,
192,Placio,hospitality,seed,2000000.0,noida,Placio is a student housing and a complete broker-free platform.,2018,,,
193,Aviom India Housing Finance,finance,series a,2192620.0,new delhi,Delhi based housing finance company.,2018,,,
194,GenRobotic,marketing,seed,948512359.4238179,trivandrum,A Robotic Company.,2018,,,
195,HeyHolidays,tourism,seed,1000000.0,bengaluru,"HeyHolidays, a global player in online vacation rentals.",2018,,,
196,Pratilipi,digital media,series a,4300000.0,bengaluru,Amazon's Kindle Direct Publishing for Indian Languages,2018,,,
197,SectorQube,consumer electronics,seed,948512359.4238179,ernakulam,SectorQube develops smart kitchen devices that make food automatically.,2018,,,
198,Food Memories,food & beverages,seed,948512359.4238179,ahmedabad,Iconic Indian Delicacies from the most renowned vendors of India Delivered Globally.,2018,,,
199,ZAMROO,information technology,seed,948512359.4238179,india,Zamroo is a growing mobile marketplace that allows users to buy and sell locally.,2018,,,
200,Silversparro Technologies Pvt. Ltd,analytics,seed,300000.0,gurgaon,Silversparro is a deep learning technology solution provider.,2018,,,
201,Creator’s Gurukul,facilities support services,angel,948512359.4238179,gurgaon,A coworking space provider.,2018,,,
202,Emflux Motors,automotive,seed,364846.0,bengaluru,Emflux Motors is committed to bring clean and sustainable energy into a state of universal acceptance through technological innovation.,2018,,,
203,Tricog Health Services Pvt Ltd,healthcare,series a,4000000.0,bengaluru,Predictive Healthcare Analytics Company,2018,,,
204,Scapic,information technology,seed,500000.0,bengaluru,Virtual/Augmented Reality Start Up .,2018,,,
205,6Degree,fashion,seed,400000.0,mumbai,A fashion enterprise that provides a launchpad to fashion talent and brands using a tech enabled platform,2018,,,
206,Chrysalis (EZ Vidya),education,seed,948512359.4238179,chennai,Chrysalis (EZ Vidya) is India’s leading educational research and innovation organization,2018,,,
207,Ekincare,medical,series a,1500000.0,hyderabad,EKincare empowers you to take charge of your health by enabling you to monitor critical medical info and make it available anywhere.,2018,,,
208,Streo,music streaming,seed,948512359.4238179,gurgaon,"Live stream music from nightclubs, bars & festivals!",2018,,,
209,Groww,finance,seed,120000.0,kormangala,Groww offers a new way of investing money.,2018,,,
210,Cell Propulsion,fintech,seed,102322.0,bengaluru,Cell Propulsion is an electric mobility startup that designs autonomous electric vehicles.,2018,,,
211,Chezuba,information technology,angel,20464.0,hyderabad,Chezuba is a web-based platform enabling skilled professionals to volunteer online with Non-profits worldwide,2018,,,
212,Ontrack Technologies Pvt. Ltd,retail,seed,948512359.4238179,bengaluru,Ontrack provides affordable independent transport to those dependent on cabs and autos for commute by renting bikes on a monthly basis.,2018,,,
213,Wealthtrust,finance,seed,500000.0,mumbai,Wealthtrust offers a wealth manager application that enables its users to invest and manage their investments online.,2018,,,
214,Faclon Labs,information technology,seed,948512359.4238179,mumbai,Faclon is an IoT and data analytics based tech startup building products to make cities and villages smart.,2018,,,
215,Awign Enterprises,business development,seed,730873.0,bengaluru,Operations and manpower outsourcing startup,2018,,,
216,CollPoll,education,seed,948512359.4238179,bengaluru,World-class Enterprise System for Education.,2018,,,
217,Zyla Health,healthcare,seed,948512359.4238179,new delhi,Zyla is transforming the way healthcare is delivered in India with specific focus on high-risk chronic patients.,2018,,,
218,Hubhopper,information technology,series a,500000.0,delhi,Get your daily dose of interest as summaries from news and magazine stories .,2018,,,
219,Rubix108 Technologies,information technology,seed,1000000.0,pune,Rubix Total App makes it effortless for Institutes to send home important information and updates about the day’s learning experiences.,2018,,,
220,Workflexi,human resources,seed,146175.0,bengaluru,"Be Smart, Work on Contract,Be Smart, Hire on Contract",2018,,,
